size, threads, precision, time
50, 4, 3, 0.711920
60, 4, 3, 1.367630
70, 4, 3, 2.245719
80, 4, 3, 3.520445
90, 4, 3, 5.454097
100, 4, 3, 8.295214
110, 4, 3, 11.650423
120, 4, 3, 16.428470
130, 4, 3, 21.933858
140, 4, 3, 28.548632
150, 4, 3, 37.882076
160, 4, 3, 46.522119
170, 4, 3, 58.633060
180, 4, 3, 73.863700
190, 4, 3, 89.624713
200, 4, 3, 113.689685

50, 8, 3, 0.559448
60, 8, 3, 1.026227
70, 8, 3, 1.670297
80, 8, 3, 2.479031
90, 8, 3, 3.784271
100, 8, 3, 5.429431
110, 8, 3, 7.653815
120, 8, 3, 10.423372
130, 8, 3, 13.786061
140, 8, 3, 17.774063
150, 8, 3, 23.221920
160, 8, 3, 28.706799
170, 8, 3, 35.385198
180, 8, 3, 44.009690
190, 8, 3, 53.581453
200, 8, 3, 66.742716

50, 12, 3, 0.533652
60, 12, 3, 0.933830
70, 12, 3, 1.450064
80, 12, 3, 2.161747
90, 12, 3, 3.268663
100, 12, 3, 4.637438
110, 12, 3, 6.358226
120, 12, 3, 8.571334
130, 12, 3, 11.289139
140, 12, 3, 14.495022
150, 12, 3, 18.587234
160, 12, 3, 22.557210
170, 12, 3, 28.082122
180, 12, 3, 35.223801
190, 12, 3, 42.074140
200, 12, 3, 51.825247

50, 16, 3, 0.551927
60, 16, 3, 0.932847
70, 16, 3, 1.357560
80, 16, 3, 1.980708
90, 16, 3, 3.024872
100, 16, 3, 4.311164
110, 16, 3, 5.755956
120, 16, 3, 7.908837
130, 16, 3, 10.253596
140, 16, 3, 12.904603
150, 16, 3, 16.554722
160, 16, 3, 20.170828
170, 16, 3, 24.554697
180, 16, 3, 30.126213
190, 16, 3, 36.122385
200, 16, 3, 44.648550

50, 20, 3, 0.556803
60, 20, 3, 0.935898
70, 20, 3, 1.385995
80, 20, 3, 2.035330
90, 20, 3, 2.975410
100, 20, 3, 4.147147
110, 20, 3, 5.519173
120, 20, 3, 7.434940
130, 20, 3, 9.952591
140, 20, 3, 12.092188
150, 20, 3, 15.450125
160, 20, 3, 18.715758
170, 20, 3, 23.343804
180, 20, 3, 27.789951
190, 20, 3, 33.715253
200, 20, 3, 41.210855

50, 24, 3, 0.559497
60, 24, 3, 0.944258
70, 24, 3, 1.398019
80, 24, 3, 1.830787
90, 24, 3, 2.887255
100, 24, 3, 4.032619
110, 24, 3, 5.383489
120, 24, 3, 7.186681
130, 24, 3, 9.221207
140, 24, 3, 11.640916
150, 24, 3, 14.835379
160, 24, 3, 17.742256
170, 24, 3, 21.718456
180, 24, 3, 26.671854
190, 24, 3, 31.288532
200, 24, 3, 37.949750

50, 28, 3, 0.673192
60, 28, 3, 1.011535
70, 28, 3, 1.441569
80, 28, 3, 2.049627
90, 28, 3, 3.013754
100, 28, 3, 4.108079
110, 28, 3, 5.429080
120, 28, 3, 7.237989
130, 28, 3, 9.295551
140, 28, 3, 11.584014
150, 28, 3, 14.641105
160, 28, 3, 17.465350
170, 28, 3, 21.618403
180, 28, 3, 25.893721
190, 28, 3, 30.467065
200, 28, 3, 37.121536

50, 32, 3, 0.639539
60, 32, 3, 1.142479
70, 32, 3, 1.495467
80, 32, 3, 2.081853
90, 32, 3, 3.000454
100, 32, 3, 4.183123
110, 32, 3, 5.338124
120, 32, 3, 6.911281
130, 32, 3, 9.177889
140, 32, 3, 11.342113
150, 32, 3, 14.234571
160, 32, 3, 16.837904
170, 32, 3, 20.277915
180, 32, 3, 25.108637
190, 32, 3, 29.885771
200, 32, 3, 35.799510

50, 36, 3, 0.714258
60, 36, 3, 1.161578
70, 36, 3, 1.526298
80, 36, 3, 2.210055
90, 36, 3, 3.208276
100, 36, 3, 4.427982
110, 36, 3, 6.013994
120, 36, 3, 7.011631
130, 36, 3, 9.054716
140, 36, 3, 11.192567
150, 36, 3, 14.462749
160, 36, 3, 18.343704
170, 36, 3, 20.791164
180, 36, 3, 24.944175
190, 36, 3, 29.975617
200, 36, 3, 36.007326

50, 40, 3, 0.757884
60, 40, 3, 1.189219
70, 40, 3, 1.841676
80, 40, 3, 2.351938
90, 40, 3, 3.468679
100, 40, 3, 4.739817
110, 40, 3, 5.981964
120, 40, 3, 7.788628
130, 40, 3, 9.404213
140, 40, 3, 11.846391
150, 40, 3, 15.038297
160, 40, 3, 17.262490
170, 40, 3, 20.726147
180, 40, 3, 25.264208
190, 40, 3, 29.223066
200, 40, 3, 35.120129

50, 44, 3, 0.811590
60, 44, 3, 1.256478
70, 44, 3, 1.803089
80, 44, 3, 2.545808
90, 44, 3, 3.614875
100, 44, 3, 4.793952
110, 44, 3, 6.165995
